Epoch 1, 0% 	 train_loss_1_batch: 1.3907 	 took: 26.0153s 
Epoch 1, 0% 	 train_loss_2_batch: 0.3652 	 took: 5.2932s 
Epoch 1, 0% 	 train_loss_3_batch: 5.2034 	 took: 2.5688s 
Epoch 1, 0% 	 train_loss_4_batch: 1.9664 	 took: 2.9902s 
Epoch 1, 0% 	 train_loss_5_batch: 0.9620 	 took: 2.7953s 
Epoch 1, 0% 	 train_loss_6_batch: 1.3369 	 took: 3.0747s 
Epoch 1, 0% 	 train_loss_7_batch: 1.2025 	 took: 4.1164s 
Epoch 1, 0% 	 train_loss_8_batch: 1.2774 	 took: 2.8490s 
Epoch 1, 0% 	 train_loss_9_batch: 1.2302 	 took: 3.5822s 
Epoch 1, 0% 	 train_loss_10_batch: 1.2601 	 took: 2.2308s 
Epoch 1, 0% 	 train_loss_11_batch: 0.5845 	 took: 2.4498s 
Epoch 1, 0% 	 train_loss_12_batch: 0.9618 	 took: 1.9617s 
Epoch 1, 0% 	 train_loss_13_batch: 1.0702 	 took: 4.6417s 
Epoch 1, 0% 	 train_loss_14_batch: 1.2277 	 took: 3.7791s 
Epoch 1, 0% 	 train_loss_15_batch: 1.9006 	 took: 2.0427s 
Epoch 1, 1% 	 train_loss_16_batch: 0.5283 	 took: 1.8226s 
Epoch 1, 1% 	 train_loss_17_batch: 1.2808 	 took: 3.7765s 
Epoch 1, 1% 	 train_loss_18_batch: 0.9084 	 took: 2.6011s 
Epoch 1, 1% 	 train_loss_19_batch: 0.9712 	 took: 2.8683s 
Epoch 1, 1% 	 train_loss_20_batch: 0.8227 	 took: 1.8532s 
Epoch 1, 1% 	 train_loss_21_batch: 0.9342 	 took: 1.8353s 
Epoch 1, 1% 	 train_loss_22_batch: 1.0881 	 took: 3.8477s 
Epoch 1, 1% 	 train_loss_23_batch: 0.7642 	 took: 2.4931s 
Epoch 1, 1% 	 train_loss_24_batch: 2.3503 	 took: 1.6540s 
Epoch 1, 1% 	 train_loss_25_batch: 0.6528 	 took: 2.3821s 
Epoch 1, 1% 	 train_loss_26_batch: 1.4890 	 took: 1.9869s 
Epoch 1, 1% 	 train_loss_27_batch: 0.8236 	 took: 2.4910s 
Epoch 1, 1% 	 train_loss_28_batch: 1.7735 	 took: 2.9730s 
Epoch 1, 1% 	 train_loss_29_batch: 2.2652 	 took: 1.9607s 
Epoch 1, 1% 	 train_loss_30_batch: 1.2479 	 took: 2.5663s 
Epoch 1, 1% 	 train_loss_31_batch: 2.3547 	 took: 4.1126s 
Epoch 1, 2% 	 train_loss_32_batch: 0.7610 	 took: 1.7568s 
Epoch 1, 2% 	 train_loss_33_batch: 0.8478 	 took: 2.3452s 
Epoch 1, 2% 	 train_loss_34_batch: 0.9835 	 took: 1.5602s 
Epoch 1, 2% 	 train_loss_35_batch: 1.6354 	 took: 1.6197s 
Epoch 1, 2% 	 train_loss_36_batch: 1.2435 	 took: 1.9900s 
Epoch 1, 2% 	 train_loss_37_batch: 1.1481 	 took: 1.7716s 
Epoch 1, 2% 	 train_loss_38_batch: 0.5985 	 took: 3.0030s 
Epoch 1, 2% 	 train_loss_39_batch: 0.7254 	 took: 1.7081s 
Epoch 1, 2% 	 train_loss_40_batch: 0.8456 	 took: 3.9623s 
Epoch 1, 2% 	 train_loss_41_batch: 1.0339 	 took: 2.0699s 
Epoch 1, 2% 	 train_loss_42_batch: 0.6840 	 took: 1.8661s 
Epoch 1, 2% 	 train_loss_43_batch: 0.5475 	 took: 2.5505s 
Epoch 1, 2% 	 train_loss_44_batch: 0.8503 	 took: 2.6827s 
